trial,exp,algorithm,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,score_entropy,score_variance,score_distinct_count,enc_total_us
1,D,Noise,1%,0.99,1.01,1.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0,2.164,0.007887,10,24699
1,D,Noise,1%,0.99,1.01,1.0,10,How is hypertension treated?,1.0,1.0,1.0,1.6094,0.007059,10,25127
1,D,Noise,1%,0.99,1.01,1.0,10,What causes heart failure?,1.0,1.0,1.0,2.0253,0.00683,10,25980
1,D,Noise,1%,0.99,1.01,1.0,10,Describe the symptoms of lupus,1.0,1.0,1.0,2.0253,0.014622,10,24372
1,D,Noise,1%,0.99,1.01,1.0,10,What medications treat depression?,1.0,1.0,1.0,2.164,0.008111,10,24246
1,D,Noise,1%,0.99,1.01,1.0,10,How does Alzheimer's disease progress?,1.0,1.0,1.0,1.973,0.015865,10,27582
1,D,Noise,1%,0.99,1.01,1.0,10,What are risk factors for stroke?,1.0,1.0,1.0,1.4185,0.007745,10,24687
1,D,Noise,1%,0.99,1.01,1.0,10,How is asthma managed long-term?,1.0,1.0,1.0,2.164,0.006721,10,24363
1,D,Noise,1%,0.99,1.01,1.0,10,What are signs of kidney disease?,1.0,1.0,1.0,1.8344,0.006626,10,25668
1,D,Noise,1%,0.99,1.01,1.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0,1.8344,0.009165,10,27247
1,D,Noise,1%,0.99,1.01,1.0,10,What causes Parkinson's disease?,1.0,1.0,1.0,1.973,0.015143,10,25307
1,D,Noise,1%,0.99,1.01,1.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.0,1.8344,0.014327,10,24145
1,D,Noise,1%,0.99,1.01,1.0,10,What are symptoms of anemia?,1.0,1.0,1.0,1.6957,0.018166,10,25121
1,D,Noise,1%,0.99,1.01,1.0,10,How is hypothyroidism treated?,1.0,1.0,1.0,1.5048,0.014395,10,25431
1,D,Noise,1%,0.99,1.01,1.0,10,What causes chronic pain?,1.0,1.0,1.0,2.164,0.000761,10,23836
1,D,Noise,1%,0.99,1.01,1.0,10,Describe COPD management,1.0,1.0,1.0,1.2206,0.024943,10,26635
1,D,Noise,1%,0.99,1.01,1.0,10,What are signs of liver disease?,1.0,1.0,1.0,2.0253,0.001755,10,25455
1,D,Noise,1%,0.99,1.01,1.0,10,How is epilepsy treated?,1.0,1.0,1.0,1.3592,0.017457,10,25816
1,D,Noise,1%,0.99,1.01,1.0,10,What causes osteoporosis?,1.0,1.0,1.0,1.8344,0.014138,10,26427
1,D,Noise,1%,0.99,1.01,1.0,10,Describe symptoms of anxiety disorder,1.0,1.0,1.0,1.6094,0.013858,10,25261
1,D,Noise,1%,0.99,1.01,1.0,10,What medications are used for HIV/AIDS?,1.0,1.0,1.0,1.4979,0.009627,10,26812
1,D,Noise,1%,0.99,1.01,1.0,10,How is pneumonia diagnosed?,1.0,1.0,1.0,1.8344,0.007208,10,24480
1,D,Noise,1%,0.99,1.01,1.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.0,2.164,0.001504,10,24408
1,D,Noise,1%,0.99,1.01,1.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.0,1.3592,0.016559,10,24730
1,D,Noise,1%,0.99,1.01,1.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.0,1.4185,0.010769,10,27043
1,D,Noise,1%,0.99,1.01,1.0,10,How is bipolar disorder managed?,1.0,1.0,1.0,1.4708,0.016108,10,25429
1,D,Noise,1%,0.99,1.01,1.0,10,What causes psoriasis?,1.0,1.0,1.0,1.6094,0.01611,10,24653
1,D,Noise,1%,0.99,1.01,1.0,10,Describe sepsis treatment,1.0,1.0,1.0,1.6434,0.017429,10,24517
1,D,Noise,1%,0.99,1.01,1.0,10,What are risk factors for cancer?,1.0,1.0,1.0,1.973,0.000534,10,25589
1,D,Noise,1%,0.99,1.01,1.0,10,How is ALS diagnosed?,1.0,1.0,1.0,1.6094,0.011293,10,25519
1,D,Noise,5%,0.95,1.05,5.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0,2.0253,0.00794,10,26198
1,D,Noise,5%,0.95,1.05,5.0,10,How is hypertension treated?,1.0,1.0,1.0,1.6094,0.006995,10,19980
1,D,Noise,5%,0.95,1.05,5.0,10,What causes heart failure?,1.0,1.0,1.0,2.0253,0.006809,10,17600
1,D,Noise,5%,0.95,1.05,5.0,10,Describe the symptoms of lupus,1.0,1.0,1.0,2.0253,0.014691,10,11675
1,D,Noise,5%,0.95,1.05,5.0,10,What medications treat depression?,1.0,1.0,1.0,2.164,0.00797,10,12403
1,D,Noise,5%,0.95,1.05,5.0,10,How does Alzheimer's disease progress?,1.0,1.0,0.9556,1.973,0.015911,10,12301
1,D,Noise,5%,0.95,1.05,5.0,10,What are risk factors for stroke?,1.0,1.0,1.0,1.4185,0.007779,10,12708
1,D,Noise,5%,0.95,1.05,5.0,10,How is asthma managed long-term?,1.0,1.0,1.0,2.164,0.006801,10,12948
1,D,Noise,5%,0.95,1.05,5.0,10,What are signs of kidney disease?,1.0,1.0,1.0,1.6094,0.006654,10,13064
1,D,Noise,5%,0.95,1.05,5.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0,1.8344,0.009194,10,12497
1,D,Noise,5%,0.95,1.05,5.0,10,What causes Parkinson's disease?,1.0,1.0,0.9556,1.973,0.015155,10,12883
1,D,Noise,5%,0.95,1.05,5.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.0,1.8344,0.014276,10,11563
