trial,exp,algorithm,noise_min,noise_max,top_k,query,recall_at_k,ndcg_at_k,enc_encrypt_us,enc_search_us,enc_total_us,note
1,J,Rome,1.0,1.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,45,459,12726,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is hypertension treated?,1.0,1.0,46,454,11571,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes heart failure?,1.0,1.0,40,404,11275,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe the symptoms of lupus,1.0,1.0,41,402,11442,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What medications treat depression?,1.0,1.0,40,434,11276,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How does Alzheimer's disease progress?,1.0,1.0,37,422,10876,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are risk factors for stroke?,1.0,1.0,36,423,11420,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is asthma managed long-term?,1.0,1.0,35,360,10719,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are signs of kidney disease?,1.0,1.0,38,400,11241,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,35,393,11975,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes Parkinson's disease?,1.0,1.0,39,358,11372,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,36,366,10663,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are symptoms of anemia?,1.0,1.0,32,384,9867,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is hypothyroidism treated?,1.0,1.0,31,361,9039,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes chronic pain?,1.0,1.0,39,358,9558,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe COPD management,1.0,1.0,38,355,9165,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are signs of liver disease?,1.0,1.0,34,355,9540,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is epilepsy treated?,1.0,1.0,36,354,9884,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes osteoporosis?,1.0,1.0,34,354,9762,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe symptoms of anxiety disorder,1.0,1.0,34,352,9404,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What medications are used for HIV/AIDS?,1.0,1.0,34,377,8993,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is pneumonia diagnosed?,1.0,1.0,40,356,9852,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes inflammatory bowel disease?,1.0,1.0,34,355,9735,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe treatment for chronic kidney disease,1.0,1.0,37,352,9401,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are symptoms of schizophrenia?,1.0,1.0,34,354,9563,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is bipolar disorder managed?,1.0,1.0,37,378,9464,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What causes psoriasis?,1.0,1.0,37,354,11061,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,Describe sepsis treatment,1.0,1.0,38,354,9604,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,What are risk factors for cancer?,1.0,1.0,34,371,10242,Geometric encryption — ANN-compatible
1,J,Rome,1.0,1.0,10,How is ALS diagnosed?,1.0,1.0,38,352,11490,Geometric encryption — ANN-compatible
