trial,exp,algorithm,top_k,query,recall_at_k,ndcg_at_k,kendall_tau
1,E,Scrambling,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,1,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,1,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,5,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,5,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,10,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,10,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,10,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,10,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,10,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,20,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,20,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,20,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,20,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,20,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,20,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,20,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,20,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,20,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,20,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,50,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,50,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,50,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,50,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,50,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,50,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,50,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,50,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,50,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,50,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Noise,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Noise,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Noise,1,What causes heart failure?,1.0,1.0,1.0
1,E,Noise,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Noise,1,What medications treat depression?,1.0,1.0,1.0
1,E,Noise,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Noise,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Noise,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Noise,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Noise,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Noise,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Noise,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Noise,5,What causes heart failure?,1.0,1.0,1.0
1,E,Noise,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Noise,5,What medications treat depression?,1.0,1.0,1.0
1,E,Noise,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Noise,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Noise,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Noise,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Noise,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Noise,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Noise,10,How is hypertension treated?,1.0,1.0,1.0
1,E,Noise,10,What causes heart failure?,1.0,1.0,1.0
1,E,Noise,10,Describe the symptoms of lupus,1.0,1.0,0.9556
1,E,Noise,10,What medications treat depression?,1.0,1.0,1.0
1,E,Noise,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Noise,10,What are risk factors for stroke?,1.0,1.0,0.9556
1,E,Noise,10,How is asthma managed long-term?,1.0,1.0,0.9556
1,E,Noise,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Noise,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Noise,20,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9789
1,E,Noise,20,How is hypertension treated?,1.0,1.0,0.9684
1,E,Noise,20,What causes heart failure?,1.0,1.0,0.9895
1,E,Noise,20,Describe the symptoms of lupus,0.95,0.9999,0.9789
1,E,Noise,20,What medications treat depression?,1.0,1.0,1.0
1,E,Noise,20,How does Alzheimer's disease progress?,0.95,0.9999,0.9895
1,E,Noise,20,What are risk factors for stroke?,0.95,0.9998,0.9368
1,E,Noise,20,How is asthma managed long-term?,1.0,1.0,0.9684
1,E,Noise,20,What are signs of kidney disease?,1.0,1.0,0.9789
1,E,Noise,20,Describe rheumatoid arthritis treatment,1.0,1.0,0.9895
1,E,Noise,50,What are the symptoms of type 2 diabetes?,1.0,1.0,0.951
1,E,Noise,50,How is hypertension treated?,1.0,1.0,0.9804
1,E,Noise,50,What causes heart failure?,1.0,1.0,0.982
1,E,Noise,50,Describe the symptoms of lupus,0.98,0.9893,0.9694
1,E,Noise,50,What medications treat depression?,0.98,0.9895,0.9813
1,E,Noise,50,How does Alzheimer's disease progress?,0.98,0.9917,0.9796
1,E,Noise,50,What are risk factors for stroke?,0.98,0.9885,0.9643
1,E,Noise,50,How is asthma managed long-term?,1.0,1.0,0.9837
1,E,Noise,50,What are signs of kidney disease?,0.96,0.9792,0.984
1,E,Noise,50,Describe rheumatoid arthritis treatment,0.98,0.9903,0.9881
