trial,exp,algorithm,top_k,query,recall_at_k,ndcg_at_k,kendall_tau
1,E,Scrambling,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,1,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,1,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,5,What are the symptoms of type 2 diabetes?,0.8,1.0,1.0
1,E,Scrambling,5,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,5,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,5,What medications treat depression?,1.0,0.9999,0.8
1,E,Scrambling,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,5,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,5,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Scrambling,10,How is hypertension treated?,1.0,1.0,1.0
1,E,Scrambling,10,What causes heart failure?,1.0,1.0,1.0
1,E,Scrambling,10,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Scrambling,10,What medications treat depression?,1.0,1.0,1.0
1,E,Scrambling,10,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Scrambling,10,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Scrambling,10,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Scrambling,10,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Scrambling,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Scrambling,20,What are the symptoms of type 2 diabetes?,1.0,0.9999,0.8947
1,E,Scrambling,20,How is hypertension treated?,1.0,1.0,0.9263
1,E,Scrambling,20,What causes heart failure?,1.0,1.0,0.9684
1,E,Scrambling,20,Describe the symptoms of lupus,0.95,0.9997,0.9053
1,E,Scrambling,20,What medications treat depression?,1.0,1.0,0.9579
1,E,Scrambling,20,How does Alzheimer's disease progress?,0.95,0.9995,0.9789
1,E,Scrambling,20,What are risk factors for stroke?,0.9,0.9988,0.8211
1,E,Scrambling,20,How is asthma managed long-term?,1.0,1.0,0.9474
1,E,Scrambling,20,What are signs of kidney disease?,1.0,1.0,0.9474
1,E,Scrambling,20,Describe rheumatoid arthritis treatment,0.95,0.9997,0.9789
1,E,Scrambling,50,What are the symptoms of type 2 diabetes?,0.96,0.9772,0.8635
1,E,Scrambling,50,How is hypertension treated?,1.0,1.0,0.9461
1,E,Scrambling,50,What causes heart failure?,0.98,0.9908,0.9609
1,E,Scrambling,50,Describe the symptoms of lupus,0.92,0.9567,0.8976
1,E,Scrambling,50,What medications treat depression?,0.96,0.9788,0.9291
1,E,Scrambling,50,How does Alzheimer's disease progress?,1.0,1.0,0.9445
1,E,Scrambling,50,What are risk factors for stroke?,0.98,0.9884,0.8707
1,E,Scrambling,50,How is asthma managed long-term?,0.96,0.9812,0.9681
1,E,Scrambling,50,What are signs of kidney disease?,0.98,0.9895,0.9371
1,E,Scrambling,50,Describe rheumatoid arthritis treatment,0.98,0.9903,0.9541
1,E,Noise,1,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Noise,1,How is hypertension treated?,1.0,1.0,1.0
1,E,Noise,1,What causes heart failure?,1.0,1.0,1.0
1,E,Noise,1,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Noise,1,What medications treat depression?,1.0,1.0,1.0
1,E,Noise,1,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Noise,1,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Noise,1,How is asthma managed long-term?,1.0,1.0,1.0
1,E,Noise,1,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Noise,1,Describe rheumatoid arthritis treatment,1.0,1.0,1.0
1,E,Noise,5,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0
1,E,Noise,5,How is hypertension treated?,0.8,0.9981,1.0
1,E,Noise,5,What causes heart failure?,1.0,1.0,1.0
1,E,Noise,5,Describe the symptoms of lupus,1.0,1.0,1.0
1,E,Noise,5,What medications treat depression?,1.0,0.999,0.6
1,E,Noise,5,How does Alzheimer's disease progress?,1.0,1.0,1.0
1,E,Noise,5,What are risk factors for stroke?,1.0,1.0,1.0
1,E,Noise,5,How is asthma managed long-term?,1.0,0.9997,0.8
1,E,Noise,5,What are signs of kidney disease?,1.0,1.0,1.0
1,E,Noise,5,Describe rheumatoid arthritis treatment,1.0,0.9996,0.8
1,E,Noise,10,What are the symptoms of type 2 diabetes?,1.0,1.0,0.9556
1,E,Noise,10,How is hypertension treated?,0.9,0.9985,0.9556
1,E,Noise,10,What causes heart failure?,1.0,1.0,0.9111
1,E,Noise,10,Describe the symptoms of lupus,1.0,0.9999,0.9111
1,E,Noise,10,What medications treat depression?,1.0,0.9993,0.9111
1,E,Noise,10,How does Alzheimer's disease progress?,0.9,0.9989,0.8222
1,E,Noise,10,What are risk factors for stroke?,0.8,0.9976,0.8222
1,E,Noise,10,How is asthma managed long-term?,1.0,0.9998,0.9111
1,E,Noise,10,What are signs of kidney disease?,0.9,0.9984,0.9111
1,E,Noise,10,Describe rheumatoid arthritis treatment,1.0,0.9996,0.8667
1,E,Noise,20,What are the symptoms of type 2 diabetes?,0.95,0.9996,0.9368
1,E,Noise,20,How is hypertension treated?,0.95,0.9993,0.8947
1,E,Noise,20,What causes heart failure?,1.0,0.9999,0.9368
1,E,Noise,20,Describe the symptoms of lupus,0.95,0.9996,0.9263
1,E,Noise,20,What medications treat depression?,0.95,0.9985,0.9263
1,E,Noise,20,How does Alzheimer's disease progress?,0.95,0.9994,0.9263
1,E,Noise,20,What are risk factors for stroke?,0.9,0.9982,0.7579
1,E,Noise,20,How is asthma managed long-term?,1.0,0.9998,0.9368
1,E,Noise,20,What are signs of kidney disease?,0.9,0.9992,0.8947
1,E,Noise,20,Describe rheumatoid arthritis treatment,0.95,0.9986,0.9263
1,E,Noise,50,What are the symptoms of type 2 diabetes?,0.96,0.977,0.8422
1,E,Noise,50,How is hypertension treated?,0.96,0.9786,0.9255
1,E,Noise,50,What causes heart failure?,0.96,0.9812,0.9309
1,E,Noise,50,Describe the symptoms of lupus,0.88,0.9329,0.8626
1,E,Noise,50,What medications treat depression?,0.94,0.9669,0.8834
1,E,Noise,50,How does Alzheimer's disease progress?,0.98,0.9912,0.9099
1,E,Noise,50,What are risk factors for stroke?,0.96,0.9764,0.8457
1,E,Noise,50,How is asthma managed long-term?,0.94,0.9708,0.9278
1,E,Noise,50,What are signs of kidney disease?,0.96,0.9788,0.9184
