trial,exp,algorithm,corpus_size,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,I,Combined,3190,0%,1.0,1.0,0.0,10,what is non controlling interest on balance sheet,1.0,1.0,2.164,0.007733,30275
1,I,Combined,3190,0%,1.0,1.0,0.0,10,how many episodes are in chicago fire season 4,1.0,1.0,1.5571,0.028354,19506
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who sings love will keep us alive by the eagles,1.0,1.0,1.1683,0.021697,11851
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who is the leader of the ontario pc party,1.0,1.0,1.6434,0.018128,11480
1,I,Combined,3190,0%,1.0,1.0,0.0,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.2799,0.018568,12186
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who were the three elves who got rings,1.0,1.0,1.973,0.013581,11036
1,I,Combined,3190,0%,1.0,1.0,0.0,10,converting stereo signal to mono signal is called,1.0,1.0,1.973,0.011298,12795
1,I,Combined,3190,0%,1.0,1.0,0.0,10,in order to prove disparate impact you first must establish,1.0,1.0,1.6957,0.003484,10947
1,I,Combined,3190,0%,1.0,1.0,0.0,10,where do characters live in this is us,1.0,1.0,1.2799,0.011781,10718
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who makes the decisions about what to produce in a market economy,1.0,1.0,1.1683,0.015682,10175
1,I,Combined,3190,0%,1.0,1.0,0.0,10,when is the new tappan zee bridge going to be finished,1.0,1.0,0.8018,0.031165,9576
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who recorded i can't help falling in love with you,1.0,1.0,1.5048,0.011207,10637
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who plays the doc in back to the future,1.0,1.0,1.3662,0.008204,10709
1,I,Combined,3190,0%,1.0,1.0,0.0,10,when did they stop cigarette advertising on television,1.0,1.0,1.3592,0.022908,11894
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.1683,0.014328,11631
1,I,Combined,3190,0%,1.0,1.0,0.0,10,how many seasons of prison break are on netflix,1.0,1.0,1.4185,0.021162,10949
1,I,Combined,3190,0%,1.0,1.0,0.0,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,1.6957,0.017727,10648
1,I,Combined,3190,0%,1.0,1.0,0.0,10,when did the us take over wake island,1.0,1.0,1.4185,0.026058,10984
1,I,Combined,3190,0%,1.0,1.0,0.0,10,when did american two party system began to emerge,1.0,1.0,1.4979,0.021058,10078
1,I,Combined,3190,0%,1.0,1.0,0.0,10,where are the mitochondria located in the sperm,1.0,1.0,2.164,0.008227,10644
1,I,Combined,3190,0%,1.0,1.0,0.0,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.2275,0.03056,10221
1,I,Combined,3190,0%,1.0,1.0,0.0,10,how many seasons of the oc are there,1.0,1.0,1.2799,0.006332,11225
1,I,Combined,3190,0%,1.0,1.0,0.0,10,latest season on keeping up with the kardashians,1.0,1.0,1.1683,0.011513,10778
1,I,Combined,3190,0%,1.0,1.0,0.0,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.5048,0.011719,10665
1,I,Combined,3190,0%,1.0,1.0,0.0,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.8344,0.005261,10541
1,I,Combined,3190,0%,1.0,1.0,0.0,10,what is pumped up kicks the song about,1.0,1.0,1.6094,0.03212,10322
1,I,Combined,3190,0%,1.0,1.0,0.0,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.6434,0.009925,10624
1,I,Combined,3190,0%,1.0,1.0,0.0,10,where are they building the new raiders stadium,1.0,1.0,1.8344,0.013377,10254
1,I,Combined,3190,0%,1.0,1.0,0.0,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.973,0.017713,10516
1,I,Combined,3190,0%,1.0,1.0,0.0,10,does joe die in the purge election year,1.0,1.0,0.9404,0.013761,11837
1,I,Combined,3190,1%,0.99,1.01,1.0,10,what is non controlling interest on balance sheet,1.0,1.0,2.164,0.007743,27322
1,I,Combined,3190,1%,0.99,1.01,1.0,10,how many episodes are in chicago fire season 4,1.0,1.0,1.5571,0.028308,19885
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who sings love will keep us alive by the eagles,1.0,1.0,1.1683,0.021695,12169
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who is the leader of the ontario pc party,1.0,1.0,1.6434,0.01817,19155
1,I,Combined,3190,1%,0.99,1.01,1.0,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.2799,0.018563,11618
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who were the three elves who got rings,1.0,1.0,1.973,0.013589,11947
1,I,Combined,3190,1%,0.99,1.01,1.0,10,converting stereo signal to mono signal is called,1.0,1.0,1.973,0.011311,12203
1,I,Combined,3190,1%,0.99,1.01,1.0,10,in order to prove disparate impact you first must establish,0.9,0.9498,1.6957,0.003486,12118
1,I,Combined,3190,1%,0.99,1.01,1.0,10,where do characters live in this is us,1.0,1.0,1.2799,0.011783,13155
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who makes the decisions about what to produce in a market economy,1.0,1.0,1.1683,0.015669,11868
1,I,Combined,3190,1%,0.99,1.01,1.0,10,when is the new tappan zee bridge going to be finished,1.0,1.0,0.8018,0.031137,11642
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who recorded i can't help falling in love with you,1.0,1.0,1.5048,0.011186,11342
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who plays the doc in back to the future,1.0,1.0,1.3662,0.008209,10887
1,I,Combined,3190,1%,0.99,1.01,1.0,10,when did they stop cigarette advertising on television,1.0,1.0,1.3592,0.022927,11768
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.1683,0.014315,9840
1,I,Combined,3190,1%,0.99,1.01,1.0,10,how many seasons of prison break are on netflix,1.0,1.0,1.4185,0.021157,10109
1,I,Combined,3190,1%,0.99,1.01,1.0,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,1.6957,0.017742,11744
1,I,Combined,3190,1%,0.99,1.01,1.0,10,when did the us take over wake island,1.0,1.0,1.4185,0.026055,15138
1,I,Combined,3190,1%,0.99,1.01,1.0,10,when did american two party system began to emerge,1.0,1.0,1.4979,0.021077,10045
1,I,Combined,3190,1%,0.99,1.01,1.0,10,where are the mitochondria located in the sperm,1.0,1.0,2.164,0.008222,9955
1,I,Combined,3190,1%,0.99,1.01,1.0,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.2275,0.030566,10230
1,I,Combined,3190,1%,0.99,1.01,1.0,10,how many seasons of the oc are there,1.0,1.0,1.2799,0.00633,9931
1,I,Combined,3190,1%,0.99,1.01,1.0,10,latest season on keeping up with the kardashians,1.0,1.0,1.1683,0.011508,10482
1,I,Combined,3190,1%,0.99,1.01,1.0,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.5048,0.011729,11059
1,I,Combined,3190,1%,0.99,1.01,1.0,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.8344,0.005246,10299
1,I,Combined,3190,1%,0.99,1.01,1.0,10,what is pumped up kicks the song about,1.0,1.0,1.6094,0.032107,11440
1,I,Combined,3190,1%,0.99,1.01,1.0,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.6434,0.009909,10123
1,I,Combined,3190,1%,0.99,1.01,1.0,10,where are they building the new raiders stadium,1.0,1.0,1.8344,0.013368,11384
1,I,Combined,3190,1%,0.99,1.01,1.0,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.973,0.017681,10191
1,I,Combined,3190,1%,0.99,1.01,1.0,10,does joe die in the purge election year,1.0,1.0,0.9404,0.013769,11194
1,I,Combined,3190,10%,0.9,1.1,10.0,10,what is non controlling interest on balance sheet,1.0,1.0,2.0253,0.007811,23465
1,I,Combined,3190,10%,0.9,1.1,10.0,10,how many episodes are in chicago fire season 4,1.0,1.0,1.5571,0.028009,18054
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who sings love will keep us alive by the eagles,1.0,1.0,1.1683,0.021499,18810
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who is the leader of the ontario pc party,1.0,1.0,1.6434,0.017968,13640
1,I,Combined,3190,10%,0.9,1.1,10.0,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.2799,0.017941,12370
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who were the three elves who got rings,1.0,1.0,1.973,0.0133,10111
1,I,Combined,3190,10%,0.9,1.1,10.0,10,converting stereo signal to mono signal is called,1.0,1.0,1.973,0.011306,13482
1,I,Combined,3190,10%,0.9,1.1,10.0,10,in order to prove disparate impact you first must establish,1.0,1.0,1.6434,0.003415,22105
1,I,Combined,3190,10%,0.9,1.1,10.0,10,where do characters live in this is us,0.9,0.9539,1.2799,0.011569,39592
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who makes the decisions about what to produce in a market economy,1.0,1.0,1.1935,0.0155,11747
1,I,Combined,3190,10%,0.9,1.1,10.0,10,when is the new tappan zee bridge going to be finished,1.0,1.0,0.8018,0.030647,11514
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who recorded i can't help falling in love with you,1.0,1.0,1.5048,0.010736,11999
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who plays the doc in back to the future,1.0,1.0,1.3662,0.008245,10778
1,I,Combined,3190,10%,0.9,1.1,10.0,10,when did they stop cigarette advertising on television,1.0,1.0,1.3592,0.022006,12224
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,0.9,0.9535,1.1683,0.014531,10276
1,I,Combined,3190,10%,0.9,1.1,10.0,10,how many seasons of prison break are on netflix,1.0,1.0,1.4185,0.020445,11621
1,I,Combined,3190,10%,0.9,1.1,10.0,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,1.4185,0.017848,10678
1,I,Combined,3190,10%,0.9,1.1,10.0,10,when did the us take over wake island,1.0,1.0,1.6094,0.025729,10907
1,I,Combined,3190,10%,0.9,1.1,10.0,10,when did american two party system began to emerge,1.0,1.0,1.4979,0.020781,9836
1,I,Combined,3190,10%,0.9,1.1,10.0,10,where are the mitochondria located in the sperm,1.0,1.0,1.8867,0.007977,10340
1,I,Combined,3190,10%,0.9,1.1,10.0,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.2275,0.029856,8726
1,I,Combined,3190,10%,0.9,1.1,10.0,10,how many seasons of the oc are there,1.0,1.0,1.3592,0.006294,9574
1,I,Combined,3190,10%,0.9,1.1,10.0,10,latest season on keeping up with the kardashians,1.0,1.0,1.1683,0.011719,9638
1,I,Combined,3190,10%,0.9,1.1,10.0,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.5048,0.011737,12013
1,I,Combined,3190,10%,0.9,1.1,10.0,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.8344,0.005238,11551
1,I,Combined,3190,10%,0.9,1.1,10.0,10,what is pumped up kicks the song about,0.9,0.9623,1.6094,0.031858,11739
1,I,Combined,3190,10%,0.9,1.1,10.0,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.6434,0.010012,9543
1,I,Combined,3190,10%,0.9,1.1,10.0,10,where are they building the new raiders stadium,1.0,1.0,1.8344,0.01321,11086
1,I,Combined,3190,10%,0.9,1.1,10.0,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.973,0.017111,9747
