trial,exp,algorithm,corpus_size,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,I,Combined,500,0%,1.0,1.0,0.0,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.8344,0.001498,18522
1,I,Combined,500,0%,1.0,1.0,0.0,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.6957,0.00193,14118
1,I,Combined,500,0%,1.0,1.0,0.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.973,0.000876,12006
1,I,Combined,500,0%,1.0,1.0,0.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.8867,0.000962,10896
1,I,Combined,500,0%,1.0,1.0,0.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.7481,0.000364,10925
1,I,Combined,500,0%,1.0,1.0,0.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.8344,0.001076,11512
1,I,Combined,500,0%,1.0,1.0,0.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,2.164,0.000167,10970
1,I,Combined,500,0%,1.0,1.0,0.0,10,How Contaminated Are Our Children?,1.0,1.0,2.0253,0.000807,10285
1,I,Combined,500,0%,1.0,1.0,0.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,2.164,0.000548,9581
1,I,Combined,500,0%,1.0,1.0,0.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,2.0253,0.002139,10986
1,I,Combined,500,0%,1.0,1.0,0.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.8867,0.002905,10079
1,I,Combined,500,0%,1.0,1.0,0.0,10,How Phytates Fight Cancer Cells,1.0,1.0,2.0253,0.002476,10256
1,I,Combined,500,0%,1.0,1.0,0.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.973,0.004381,10220
1,I,Combined,500,0%,1.0,1.0,0.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,2.164,0.002445,9252
1,I,Combined,500,0%,1.0,1.0,0.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.7481,0.001025,8445
1,I,Combined,500,0%,1.0,1.0,0.0,10,Testing Turmeric on Smokers,1.0,1.0,2.0253,0.00072,8012
1,I,Combined,500,0%,1.0,1.0,0.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.2275,0.004178,8385
1,I,Combined,500,0%,1.0,1.0,0.0,10,Slowing Cognitive Decline with Berries,1.0,1.0,2.0253,0.003524,9671
1,I,Combined,500,0%,1.0,1.0,0.0,10,What is ‘Meat Glue’?,1.0,1.0,1.6957,0.002329,8959
1,I,Combined,500,0%,1.0,1.0,0.0,10,Is Liquid Smoke Safe?,1.0,1.0,1.8344,0.000891,9066
1,I,Combined,500,0%,1.0,1.0,0.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,2.0253,0.001197,9681
1,I,Combined,500,0%,1.0,1.0,0.0,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,2.0253,0.001446,9423
1,I,Combined,500,0%,1.0,1.0,0.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.6434,0.004096,9019
1,I,Combined,500,0%,1.0,1.0,0.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,2.0253,0.004836,8121
1,I,Combined,500,0%,1.0,1.0,0.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,1.8344,0.001974,8679
1,I,Combined,500,0%,1.0,1.0,0.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,1.8867,0.00144,8494
1,I,Combined,500,0%,1.0,1.0,0.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,2.0253,0.001652,8561
1,I,Combined,500,0%,1.0,1.0,0.0,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.6957,0.000684,8332
1,I,Combined,500,0%,1.0,1.0,0.0,10,The Reversal on Fish Oil,1.0,1.0,2.0253,0.005445,8268
1,I,Combined,500,0%,1.0,1.0,0.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.7481,0.005752,8637
1,I,Combined,500,1%,0.99,1.01,1.0,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.8344,0.001497,19369
1,I,Combined,500,1%,0.99,1.01,1.0,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.6957,0.001925,15091
1,I,Combined,500,1%,0.99,1.01,1.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.973,0.000877,12534
1,I,Combined,500,1%,0.99,1.01,1.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.8867,0.000961,11675
1,I,Combined,500,1%,0.99,1.01,1.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.7481,0.000363,10852
1,I,Combined,500,1%,0.99,1.01,1.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.8344,0.001077,10762
1,I,Combined,500,1%,0.99,1.01,1.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,2.164,0.000166,10243
1,I,Combined,500,1%,0.99,1.01,1.0,10,How Contaminated Are Our Children?,1.0,1.0,2.0253,0.000809,10092
1,I,Combined,500,1%,0.99,1.01,1.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,2.164,0.000545,10363
1,I,Combined,500,1%,0.99,1.01,1.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,2.0253,0.002141,10440
