trial,exp,algorithm,noise_min,noise_max,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,enc_embed_us,enc_encrypt_us,enc_search_us,enc_total_us,score_entropy,score_variance,score_distinct_count
1,A,Scrambling,0.9,1.1,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0,18671,104,11981,35207,1.8344,0.002867,10
1,A,Scrambling,0.9,1.1,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,11385,57,7924,22456,1.6957,0.003962,10
1,A,Scrambling,0.9,1.1,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0,8010,43,6274,17120,1.8867,0.005018,10
1,A,Scrambling,0.9,1.1,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0,7464,36,5226,15406,1.8867,0.003889,10
1,A,Scrambling,0.9,1.1,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0,7226,30,5154,14967,1.7481,0.002246,10
1,A,Scrambling,0.9,1.1,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0,7539,30,5148,15349,1.8344,0.000264,10
1,A,Scrambling,0.9,1.1,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0,7226,33,5141,14951,1.8344,0.0001,10
1,A,Scrambling,0.9,1.1,10,How Contaminated Are Our Children?,1.0,1.0,1.0,7048,31,5149,14807,2.0253,0.00017,9
1,A,Scrambling,0.9,1.1,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0,6898,31,5142,14653,1.8867,0.00039,10
1,A,Scrambling,0.9,1.1,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,1.0,6974,30,5148,14654,1.7481,0.000481,10
1,A,Scrambling,0.9,1.1,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.0,6784,31,5144,14489,1.6094,0.000898,10
1,A,Scrambling,0.9,1.1,10,How Phytates Fight Cancer Cells,1.0,1.0,1.0,6545,30,5145,14280,2.164,8.5e-05,10
1,A,Scrambling,0.9,1.1,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.0,7448,31,5144,15118,2.0253,0.001258,10
1,A,Scrambling,0.9,1.1,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,1.0,7254,32,5151,15072,2.164,0.000777,10
1,A,Scrambling,0.9,1.1,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.0,7141,32,5147,14896,1.8344,0.000263,10
1,A,Scrambling,0.9,1.1,10,Testing Turmeric on Smokers,1.0,1.0,1.0,6875,30,5151,14655,2.164,0.001032,10
1,A,Scrambling,0.9,1.1,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.0,6941,31,5151,14952,2.0253,0.000472,10
1,A,Scrambling,0.9,1.1,10,Slowing Cognitive Decline with Berries,1.0,1.0,1.0,6182,30,5141,13861,1.8867,0.001869,10
1,A,Scrambling,0.9,1.1,10,What is ‘Meat Glue’?,1.0,1.0,1.0,6956,30,5156,14587,2.164,0.000285,10
1,A,Scrambling,0.9,1.1,10,Is Liquid Smoke Safe?,1.0,1.0,1.0,6751,31,5148,15266,1.8867,0.001226,10
1,A,Scrambling,0.9,1.1,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,1.0,7696,31,5159,15592,1.6434,0.002092,10
1,A,Scrambling,0.9,1.1,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,1.0,7206,31,5142,15115,1.8344,0.001094,10
1,A,Scrambling,0.9,1.1,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.0,6814,30,5149,14698,2.3026,9.9e-05,10
1,A,Scrambling,0.9,1.1,10,Orange Aromatherapy for Anxiety,1.0,1.0,1.0,6237,31,5151,14127,2.0253,0.006857,10
1,A,Scrambling,0.9,1.1,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,1.0,6954,30,5146,14880,2.164,0.000376,10
1,A,Scrambling,0.9,1.1,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,1.0,6363,30,5144,14377,2.0253,9.1e-05,10
1,A,Scrambling,0.9,1.1,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,1.0,6601,30,5151,14468,2.0253,0.000323,10
1,A,Scrambling,0.9,1.1,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.0,6833,32,5148,14642,1.8344,0.000857,10
1,A,Scrambling,0.9,1.1,10,The Reversal on Fish Oil,1.0,1.0,1.0,6595,31,5147,14493,1.6957,2.9e-05,10
1,A,Scrambling,0.9,1.1,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.0,6834,32,5141,14814,2.0253,0.000249,10
1,A,Noise,0.9,1.1,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,0.9111,23796,160,12396,43675,1.8344,0.002852,10
1,A,Noise,0.9,1.1,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,12527,99,7984,24495,1.6957,0.003921,10
1,A,Noise,0.9,1.1,10,Treating Asthma With Plants vs. Pills,1.0,1.0,0.9111,8698,75,6191,18650,1.6957,0.005012,10
1,A,Noise,0.9,1.1,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,0.9556,7188,61,5194,15910,1.8867,0.003944,9
1,A,Noise,0.9,1.1,10,How Fruits and Vegetables Can Prevent Asthma,1.0,0.9999,0.9111,7034,56,5167,15753,1.8867,0.002285,10
1,A,Noise,0.9,1.1,10,Our Tax Dollars Subsidize Unhealthy Foods,0.9,0.9448,0.8333,6473,52,5145,15022,2.164,0.000251,10
1,A,Noise,0.9,1.1,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,0.9556,6552,52,5139,15075,2.0253,0.000104,10
1,A,Noise,0.9,1.1,10,How Contaminated Are Our Children?,1.0,1.0,0.9556,6236,52,5149,14800,1.8867,0.000161,10
