trial,exp,algorithm,top_k,query,recall_at_k,ndcg_at_k,kendall_tau
1,E,Scrambling,1,what is non controlling interest on balance sheet,1.0,1.0,1.0
1,E,Scrambling,1,how many episodes are in chicago fire season 4,1.0,1.0,1.0
1,E,Scrambling,1,who sings love will keep us alive by the eagles,1.0,1.0,1.0
1,E,Scrambling,1,who is the leader of the ontario pc party,1.0,1.0,1.0
1,E,Scrambling,1,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0
1,E,Scrambling,1,who were the three elves who got rings,1.0,1.0,1.0
1,E,Scrambling,1,converting stereo signal to mono signal is called,1.0,1.0,1.0
1,E,Scrambling,1,in order to prove disparate impact you first must establish,1.0,1.0,1.0
1,E,Scrambling,1,where do characters live in this is us,1.0,1.0,1.0
1,E,Scrambling,1,who makes the decisions about what to produce in a market economy,1.0,1.0,1.0
1,E,Scrambling,5,what is non controlling interest on balance sheet,1.0,1.0,1.0
1,E,Scrambling,5,how many episodes are in chicago fire season 4,1.0,1.0,1.0
1,E,Scrambling,5,who sings love will keep us alive by the eagles,1.0,1.0,1.0
1,E,Scrambling,5,who is the leader of the ontario pc party,1.0,1.0,1.0
1,E,Scrambling,5,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0
1,E,Scrambling,5,who were the three elves who got rings,1.0,1.0,1.0
1,E,Scrambling,5,converting stereo signal to mono signal is called,1.0,1.0,1.0
1,E,Scrambling,5,in order to prove disparate impact you first must establish,1.0,1.0,1.0
1,E,Scrambling,5,where do characters live in this is us,1.0,1.0,1.0
1,E,Scrambling,5,who makes the decisions about what to produce in a market economy,1.0,1.0,1.0
1,E,Scrambling,10,what is non controlling interest on balance sheet,1.0,1.0,1.0
1,E,Scrambling,10,how many episodes are in chicago fire season 4,1.0,1.0,1.0
1,E,Scrambling,10,who sings love will keep us alive by the eagles,1.0,1.0,1.0
1,E,Scrambling,10,who is the leader of the ontario pc party,1.0,1.0,1.0
1,E,Scrambling,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0
1,E,Scrambling,10,who were the three elves who got rings,1.0,1.0,1.0
1,E,Scrambling,10,converting stereo signal to mono signal is called,1.0,1.0,1.0
1,E,Scrambling,10,in order to prove disparate impact you first must establish,1.0,1.0,1.0
1,E,Scrambling,10,where do characters live in this is us,1.0,1.0,1.0
1,E,Scrambling,10,who makes the decisions about what to produce in a market economy,1.0,1.0,1.0
1,E,Scrambling,20,what is non controlling interest on balance sheet,1.0,1.0,1.0
1,E,Scrambling,20,how many episodes are in chicago fire season 4,1.0,1.0,1.0
1,E,Scrambling,20,who sings love will keep us alive by the eagles,1.0,1.0,1.0
1,E,Scrambling,20,who is the leader of the ontario pc party,1.0,1.0,1.0
1,E,Scrambling,20,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0
1,E,Scrambling,20,who were the three elves who got rings,1.0,1.0,1.0
1,E,Scrambling,20,converting stereo signal to mono signal is called,1.0,1.0,1.0
1,E,Scrambling,20,in order to prove disparate impact you first must establish,1.0,1.0,1.0
1,E,Scrambling,20,where do characters live in this is us,1.0,1.0,1.0
1,E,Scrambling,20,who makes the decisions about what to produce in a market economy,1.0,1.0,1.0
1,E,Scrambling,50,what is non controlling interest on balance sheet,1.0,1.0,1.0
1,E,Scrambling,50,how many episodes are in chicago fire season 4,1.0,1.0,1.0
1,E,Scrambling,50,who sings love will keep us alive by the eagles,1.0,1.0,1.0
1,E,Scrambling,50,who is the leader of the ontario pc party,1.0,1.0,1.0
1,E,Scrambling,50,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0
