trial,exp,algorithm,top_k,query,recall_at_k,ndcg_at_k,kendall_tau
1,E,Scrambling,1,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0
1,E,Scrambling,1,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0
1,E,Scrambling,1,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0
1,E,Scrambling,1,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0
1,E,Scrambling,1,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0
1,E,Scrambling,1,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0
1,E,Scrambling,1,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0
1,E,Scrambling,1,How Contaminated Are Our Children?,1.0,1.0,1.0
1,E,Scrambling,1,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0
1,E,Scrambling,1,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,1.0
1,E,Scrambling,5,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0
1,E,Scrambling,5,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0
1,E,Scrambling,5,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0
1,E,Scrambling,5,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0
1,E,Scrambling,5,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0
1,E,Scrambling,5,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0
1,E,Scrambling,5,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0
1,E,Scrambling,5,How Contaminated Are Our Children?,1.0,1.0,1.0
1,E,Scrambling,5,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0
1,E,Scrambling,5,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,1.0
1,E,Scrambling,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0
1,E,Scrambling,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0
1,E,Scrambling,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0
1,E,Scrambling,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0
1,E,Scrambling,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0
1,E,Scrambling,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0
1,E,Scrambling,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0
1,E,Scrambling,10,How Contaminated Are Our Children?,1.0,1.0,1.0
1,E,Scrambling,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0
1,E,Scrambling,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,1.0
1,E,Scrambling,20,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0
