trial,exp,algorithm,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,score_entropy,score_variance,score_distinct_count,enc_total_us
1,D,Noise,1%,0.99,1.01,1.0,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0,1.8344,0.002868,10,43853
1,D,Noise,1%,0.99,1.01,1.0,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,1.6957,0.003962,10,24250
1,D,Noise,1%,0.99,1.01,1.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0,1.8867,0.005035,10,20314
1,D,Noise,1%,0.99,1.01,1.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0,1.8344,0.003902,10,16723
1,D,Noise,1%,0.99,1.01,1.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0,1.7481,0.002253,10,17217
1,D,Noise,1%,0.99,1.01,1.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0,1.8344,0.000265,10,17085
1,D,Noise,1%,0.99,1.01,1.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0,1.8344,0.0001,9,17229
1,D,Noise,1%,0.99,1.01,1.0,10,How Contaminated Are Our Children?,1.0,1.0,0.9556,2.0253,0.00017,9,16466
1,D,Noise,1%,0.99,1.01,1.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0,1.8867,0.00039,10,16930
1,D,Noise,1%,0.99,1.01,1.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,1.0,1.7481,0.000486,10,16274
1,D,Noise,1%,0.99,1.01,1.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.0,1.6094,0.000899,10,15893
1,D,Noise,1%,0.99,1.01,1.0,10,How Phytates Fight Cancer Cells,1.0,1.0,1.0,2.164,8.4e-05,10,16055
1,D,Noise,1%,0.99,1.01,1.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.0,2.0253,0.001261,10,16328
1,D,Noise,1%,0.99,1.01,1.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,1.0,2.164,0.000777,10,16124
1,D,Noise,1%,0.99,1.01,1.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.0,1.8344,0.000262,10,17059
1,D,Noise,1%,0.99,1.01,1.0,10,Testing Turmeric on Smokers,1.0,1.0,1.0,2.164,0.001034,10,17440
1,D,Noise,1%,0.99,1.01,1.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.0,2.0253,0.000471,10,17964
1,D,Noise,1%,0.99,1.01,1.0,10,Slowing Cognitive Decline with Berries,1.0,1.0,1.0,1.8867,0.001864,10,17718
1,D,Noise,1%,0.99,1.01,1.0,10,What is ‘Meat Glue’?,1.0,1.0,1.0,2.164,0.000285,10,17496
1,D,Noise,1%,0.99,1.01,1.0,10,Is Liquid Smoke Safe?,1.0,1.0,1.0,1.8867,0.001226,10,17367
1,D,Noise,1%,0.99,1.01,1.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,1.0,1.6434,0.002094,10,17974
1,D,Noise,1%,0.99,1.01,1.0,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,1.0,1.8344,0.001098,10,17496
1,D,Noise,1%,0.99,1.01,1.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.0,2.164,9.9e-05,10,17466
1,D,Noise,1%,0.99,1.01,1.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,1.0,2.0253,0.006868,10,15408
1,D,Noise,1%,0.99,1.01,1.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,1.0,2.164,0.000376,10,16134
1,D,Noise,1%,0.99,1.01,1.0,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,1.0,2.0253,9.1e-05,10,15525
1,D,Noise,1%,0.99,1.01,1.0,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,1.0,2.0253,0.000324,10,16894
1,D,Noise,1%,0.99,1.01,1.0,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.0,1.8344,0.000856,10,15842
1,D,Noise,1%,0.99,1.01,1.0,10,The Reversal on Fish Oil,1.0,1.0,1.0,1.6957,2.9e-05,10,16173
1,D,Noise,1%,0.99,1.01,1.0,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.0,2.0253,0.000249,10,16814
1,D,Noise,5%,0.95,1.05,5.0,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0,1.8344,0.002884,10,34376
1,D,Noise,5%,0.95,1.05,5.0,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,1.6957,0.003988,10,20165
1,D,Noise,5%,0.95,1.05,5.0,10,Treating Asthma With Plants vs. Pills,1.0,1.0,0.9556,1.6957,0.004986,10,17558
1,D,Noise,5%,0.95,1.05,5.0,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0,1.8867,0.003883,10,17836
1,D,Noise,5%,0.95,1.05,5.0,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0,1.8867,0.002225,10,16890
1,D,Noise,5%,0.95,1.05,5.0,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,0.9556,1.8344,0.000262,9,17444
1,D,Noise,5%,0.95,1.05,5.0,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0,1.7481,0.0001,9,16703
1,D,Noise,5%,0.95,1.05,5.0,10,How Contaminated Are Our Children?,1.0,1.0,0.9111,2.0253,0.000171,9,15964
1,D,Noise,5%,0.95,1.05,5.0,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0,2.0253,0.000377,10,17467
1,D,Noise,5%,0.95,1.05,5.0,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,0.9556,1.8344,0.000476,10,17351
1,D,Noise,5%,0.95,1.05,5.0,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.0,1.7481,0.000898,10,17684
1,D,Noise,5%,0.95,1.05,5.0,10,How Phytates Fight Cancer Cells,1.0,1.0,0.9556,2.0253,8.3e-05,10,18774
1,D,Noise,5%,0.95,1.05,5.0,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.0,2.0253,0.001274,10,17670
1,D,Noise,5%,0.95,1.05,5.0,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,0.9556,2.164,0.000786,10,16244
1,D,Noise,5%,0.95,1.05,5.0,10,How Curry Can Kill Cancer Cells,1.0,1.0,0.9556,2.0253,0.000259,10,17019
1,D,Noise,5%,0.95,1.05,5.0,10,Testing Turmeric on Smokers,0.9,0.9485,1.0,2.164,0.00104,10,16344
1,D,Noise,5%,0.95,1.05,5.0,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.0,2.0253,0.000472,10,16040
1,D,Noise,5%,0.95,1.05,5.0,10,Slowing Cognitive Decline with Berries,1.0,1.0,1.0,1.8867,0.001882,10,17553
1,D,Noise,5%,0.95,1.05,5.0,10,What is ‘Meat Glue’?,1.0,1.0,1.0,2.164,0.000281,10,16329
1,D,Noise,5%,0.95,1.05,5.0,10,Is Liquid Smoke Safe?,0.9,0.9499,1.0,1.7481,0.001224,10,15948
1,D,Noise,5%,0.95,1.05,5.0,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,0.9556,1.6434,0.0021,10,16790
1,D,Noise,5%,0.95,1.05,5.0,10,Does Antioxidant Intake Matter for Cancer?,0.9,0.9415,1.0,1.8344,0.001079,10,16436
1,D,Noise,5%,0.95,1.05,5.0,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.0,2.164,0.0001,10,16281
1,D,Noise,5%,0.95,1.05,5.0,10,Orange Aromatherapy for Anxiety,1.0,1.0,1.0,2.0253,0.006802,10,16285
1,D,Noise,5%,0.95,1.05,5.0,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,0.9556,1.973,0.000375,10,16840
