trial,exp,algorithm,ds_quality,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005505,23945
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is hypertension treated?,1.0,1.0,2.164,0.008063,19759
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes heart failure?,1.0,1.0,2.0253,0.001569,17915
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe the symptoms of lupus,1.0,1.0,2.164,0.008025,16865
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What medications treat depression?,1.0,1.0,1.8344,0.005777,16191
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007851,16672
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are risk factors for stroke?,1.0,1.0,1.4979,0.007439,15971
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005191,16128
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are signs of kidney disease?,1.0,1.0,1.6957,0.004912,17051
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.0253,0.007646,16886
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009459,16111
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008741,16036
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004847,15902
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006409,14846
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes chronic pain?,1.0,1.0,1.973,0.000479,15667
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe COPD management,1.0,1.0,2.0253,0.020794,16258
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are signs of liver disease?,1.0,1.0,1.8867,0.000719,16792
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is epilepsy treated?,1.0,1.0,2.0253,0.007898,15730
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes osteoporosis?,1.0,1.0,2.0253,0.008767,16838
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.012617,17630
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.164,0.006178,15796
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is pneumonia diagnosed?,1.0,1.0,2.0253,0.008521,17219
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.6957,0.000444,16760
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.8867,0.00808,16259
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011327,15987
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is bipolar disorder managed?,1.0,1.0,2.0253,0.009573,15691
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.014653,15609
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012907,15161
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,What are risk factors for cancer?,1.0,1.0,2.0253,0.000536,16515
1,H,Combined,1.0,0%,1.0,1.0,0.0,10,How is ALS diagnosed?,1.0,1.0,1.8867,0.010726,15034
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005504,32369
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How is hypertension treated?,1.0,1.0,2.164,0.008054,20929
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What causes heart failure?,1.0,1.0,1.8867,0.001565,18877
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,Describe the symptoms of lupus,1.0,1.0,1.973,0.008029,16778
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What medications treat depression?,1.0,1.0,1.8344,0.005775,15962
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007901,16605
1,H,Combined,1.0,1%,0.99,1.01,1.0,10,What are risk factors for stroke?,1.0,1.0,1.4979,0.007435,16279
