trial,exp,algorithm,noise_min,noise_max,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,enc_embed_us,enc_encrypt_us,enc_search_us,enc_total_us,score_entropy,score_variance,score_distinct_count
1,A,Scrambling,0.9,1.1,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0,7825,11,881,11358,2.0253,0.003559,10
1,A,Scrambling,0.9,1.1,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,8036,2,850,12383,1.8344,0.002109,10
1,A,Scrambling,0.9,1.1,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0,10122,2,853,14520,2.0253,0.000406,10
1,A,Scrambling,0.9,1.1,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,1.0,9868,1,918,13089,2.0253,0.001719,10
1,A,Scrambling,0.9,1.1,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0,7746,2,848,10961,2.0253,0.001538,10
1,A,Scrambling,0.9,1.1,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0,8501,1,843,13392,1.6094,0.003116,10
1,A,Scrambling,0.9,1.1,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0,6937,2,847,9860,2.0253,0.009455,10
1,A,Scrambling,0.9,1.1,10,How Contaminated Are Our Children?,1.0,1.0,1.0,7603,1,843,10673,2.3026,0.000587,10
1,A,Scrambling,0.9,1.1,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0,7942,1,853,12596,1.3592,0.003264,10
1,A,Scrambling,0.9,1.1,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,0.9556,8567,1,846,12043,1.8344,0.000878,9
1,A,Scrambling,0.9,1.1,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,1.0,1.0,8021,1,843,12562,2.164,0.000424,10
1,A,Scrambling,0.9,1.1,10,How Phytates Fight Cancer Cells,0.9,0.9399,1.0,5702,1,832,10197,2.164,0.000335,9
1,A,Scrambling,0.9,1.1,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,1.0,8202,1,1300,11410,1.6094,0.001848,10
1,A,Scrambling,0.9,1.1,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,0.9556,9143,1,833,12821,1.973,0.000362,9
1,A,Scrambling,0.9,1.1,10,How Curry Can Kill Cancer Cells,1.0,1.0,1.0,8126,2,848,11669,1.6094,0.000636,9
1,A,Scrambling,0.9,1.1,10,Testing Turmeric on Smokers,1.0,1.0,1.0,7528,2,834,11209,1.4185,0.003161,10
1,A,Scrambling,0.9,1.1,10,Alkylphenol Endocrine Disruptors and Allergies,1.0,1.0,1.0,7237,2,844,11284,1.4708,0.008035,10
1,A,Scrambling,0.9,1.1,10,Slowing Cognitive Decline with Berries,1.0,1.0,1.0,7944,2,840,11971,2.164,0.002724,10
1,A,Scrambling,0.9,1.1,10,What is ‘Meat Glue’?,1.0,1.0,1.0,6961,1,831,11169,1.8867,0.000914,10
1,A,Scrambling,0.9,1.1,10,Is Liquid Smoke Safe?,1.0,1.0,1.0,7505,1,842,11452,1.8344,0.002074,10
1,A,Scrambling,0.9,1.1,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,1.0,8169,1,832,11878,1.8344,0.003368,10
1,A,Scrambling,0.9,1.1,10,Does Antioxidant Intake Matter for Cancer?,1.0,1.0,1.0,7180,1,829,10866,1.6957,0.002813,10
1,A,Scrambling,0.9,1.1,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,1.0,8194,1,842,12202,1.8867,0.003951,10
1,A,Scrambling,0.9,1.1,10,Orange Aromatherapy for Anxiety,1.0,1.0,1.0,7406,1,838,11786,1.8867,0.00319,10
1,A,Scrambling,0.9,1.1,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,1.0,7393,2,836,11466,1.8344,0.003727,10
1,A,Scrambling,0.9,1.1,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,1.0,7910,1,831,12609,1.7481,0.00028,10
1,A,Scrambling,0.9,1.1,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,1.0,7248,2,843,11301,2.3026,0.000682,10
1,A,Scrambling,0.9,1.1,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.0,6245,1,837,10881,2.0253,0.001973,10
1,A,Scrambling,0.9,1.1,10,The Reversal on Fish Oil,1.0,1.0,1.0,7291,1,830,11498,1.8867,0.001024,10
1,A,Scrambling,0.9,1.1,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,1.0,8155,1,838,12253,1.8344,0.001774,10
1,A,Noise,0.9,1.1,10,Breast Cancer Cells Feed on Cholesterol,1.0,1.0,1.0,17309,5,1508,21236,2.0253,0.003454,10
1,A,Noise,0.9,1.1,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,12428,3,1089,17199,1.8344,0.002115,10
1,A,Noise,0.9,1.1,10,Treating Asthma With Plants vs. Pills,1.0,1.0,0.9556,9671,3,1029,12943,2.0253,0.000395,10
1,A,Noise,0.9,1.1,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,0.9556,9848,2,922,12738,2.0253,0.001721,10
1,A,Noise,0.9,1.1,10,How Fruits and Vegetables Can Prevent Asthma,1.0,0.9997,0.9111,8178,3,879,10956,2.0253,0.001561,10
1,A,Noise,0.9,1.1,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,0.9556,8634,2,842,11388,1.7481,0.003272,10
1,A,Noise,0.9,1.1,10,Reducing Arsenic in Chicken and Rice,1.0,1.0,1.0,8505,2,829,11321,2.0253,0.009325,10
1,A,Noise,0.9,1.1,10,How Contaminated Are Our Children?,1.0,1.0,1.0,8080,2,833,10681,2.164,0.000543,10
1,A,Noise,0.9,1.1,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,0.9556,8170,2,848,10822,1.4708,0.003175,10
1,A,Noise,0.9,1.1,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,1.0,1.0,0.9111,8020,2,838,10634,1.8867,0.000901,9
1,A,Noise,0.9,1.1,10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,1.0,0.9998,0.8667,9563,2,842,12545,1.8344,0.000447,10
1,A,Noise,0.9,1.1,10,How Phytates Fight Cancer Cells,1.0,1.0,1.0,8707,2,837,11295,2.0253,0.000325,10
1,A,Noise,0.9,1.1,10,Colon Cancer Prevention: Is it the Fiber or the Phytates?,1.0,1.0,0.8667,8703,2,833,11617,1.8344,0.001957,10
1,A,Noise,0.9,1.1,10,Low Carb Diets Found to Feed Heart Disease,1.0,1.0,0.9111,7998,2,844,12224,1.973,0.000377,9
1,A,Noise,0.9,1.1,10,How Curry Can Kill Cancer Cells,1.0,1.0,0.9111,8134,2,845,12288,1.6957,0.000588,9
1,A,Noise,0.9,1.1,10,Testing Turmeric on Smokers,0.9,0.9454,0.8889,8153,2,847,12398,1.6094,0.003129,9
1,A,Noise,0.9,1.1,10,Alkylphenol Endocrine Disruptors and Allergies,0.9,0.949,1.0,7387,2,832,12414,1.4708,0.008068,10
1,A,Noise,0.9,1.1,10,Slowing Cognitive Decline with Berries,1.0,1.0,1.0,8590,3,828,12543,2.3026,0.002801,10
1,A,Noise,0.9,1.1,10,What is ‘Meat Glue’?,1.0,1.0,1.0,8006,2,843,12129,2.0253,0.000923,10
1,A,Noise,0.9,1.1,10,Is Liquid Smoke Safe?,1.0,1.0,1.0,7927,2,839,11239,1.973,0.002059,10
1,A,Noise,0.9,1.1,10,Does Antioxidant Intake Matter for Stroke and Heart Disease?,1.0,1.0,0.9556,8029,2,825,12046,1.8344,0.00323,10
1,A,Noise,0.9,1.1,10,Does Antioxidant Intake Matter for Cancer?,0.9,0.9435,1.0,8550,2,835,12551,1.8344,0.002879,10
1,A,Noise,0.9,1.1,10,Is buying organic worth it? A review of the science in new DVD,1.0,1.0,0.9556,8458,3,843,12610,1.8867,0.003896,10
1,A,Noise,0.9,1.1,10,Orange Aromatherapy for Anxiety,1.0,1.0,0.9556,7383,2,830,12404,1.8867,0.003232,10
1,A,Noise,0.9,1.1,10,Food Manufacturers Get to Decide if Their Own Additives Are Safe,1.0,1.0,0.9556,8005,2,839,11044,1.6434,0.003642,10
1,A,Noise,0.9,1.1,10,Meat Industry Wins Right to Sell Tainted Meat,1.0,1.0,0.9556,8260,2,838,11099,1.4708,0.000308,9
1,A,Noise,0.9,1.1,10,Chicken Salmonella Outbreaks Show Food Safety Systems Failure,1.0,1.0,1.0,7549,2,841,10674,2.164,0.000673,10
1,A,Noise,0.9,1.1,10,Viral Food Poisoning from Pesticides?,1.0,1.0,1.0,9308,2,827,13337,1.8344,0.001975,10
1,A,Noise,0.9,1.1,10,The Reversal on Fish Oil,0.9,0.9427,1.0,8339,2,838,12424,2.0253,0.001086,10
1,A,Noise,0.9,1.1,10,Are Multivitamins Just a Waste of Money?,1.0,1.0,0.9556,7715,2,843,12016,2.164,0.00173,10
1,A,Combined,0.9,1.1,10,Breast Cancer Cells Feed on Cholesterol,0.9,0.9457,1.0,16950,18,1443,22657,1.8344,0.00347,10
1,A,Combined,0.9,1.1,10,Using Diet to Treat Asthma and Eczema,1.0,1.0,1.0,11127,3,1183,15922,1.8867,0.00208,10
1,A,Combined,0.9,1.1,10,Treating Asthma With Plants vs. Pills,1.0,1.0,1.0,10802,3,1007,15360,1.8344,0.00042,10
1,A,Combined,0.9,1.1,10,How Fruits and Vegetables Can Treat Asthma,1.0,1.0,0.9556,9460,2,915,13721,2.0253,0.001709,10
1,A,Combined,0.9,1.1,10,How Fruits and Vegetables Can Prevent Asthma,1.0,1.0,1.0,8744,3,893,12403,2.0253,0.001565,10
1,A,Combined,0.9,1.1,10,Our Tax Dollars Subsidize Unhealthy Foods,1.0,1.0,1.0,7248,3,841,12338,1.7481,0.003136,10
1,A,Combined,0.9,1.1,10,Reducing Arsenic in Chicken and Rice,1.0,0.9993,0.9556,8094,2,827,12669,2.0253,0.009413,10
1,A,Combined,0.9,1.1,10,How Contaminated Are Our Children?,1.0,1.0,1.0,7932,2,834,12119,2.164,0.000594,10
1,A,Combined,0.9,1.1,10,"Blood Type Diet Perceived as ""Crass Fraud""",1.0,1.0,1.0,7619,3,839,11754,1.3592,0.003253,10
1,A,Combined,0.9,1.1,10,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,0.9,0.9414,0.9444,7645,2,837,12502,1.6094,0.00091,9
