trial,exp,algorithm,noise_min,noise_max,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,enc_embed_us,enc_encrypt_us,enc_search_us,enc_total_us,score_entropy,score_variance,score_distinct_count
1,A,Scrambling,0.9,1.1,10,what is non controlling interest on balance sheet,1.0,1.0,1.0,22433,125,11802,39491,1.8867,4e-05,10
1,A,Scrambling,0.9,1.1,10,how many episodes are in chicago fire season 4,1.0,1.0,1.0,13571,52,7411,24843,1.6957,7.6e-05,10
1,A,Scrambling,0.9,1.1,10,who sings love will keep us alive by the eagles,1.0,1.0,1.0,10599,39,5731,20015,2.164,2.7e-05,10
1,A,Scrambling,0.9,1.1,10,who is the leader of the ontario pc party,1.0,1.0,1.0,8825,33,5144,17425,1.7481,0.000275,10
1,A,Scrambling,0.9,1.1,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0,9246,35,5143,17924,1.7481,7.7e-05,10
1,A,Scrambling,0.9,1.1,10,who were the three elves who got rings,1.0,1.0,1.0,9216,33,5145,18046,2.0253,2.8e-05,10
1,A,Scrambling,0.9,1.1,10,converting stereo signal to mono signal is called,1.0,1.0,1.0,7737,35,5143,16580,1.6957,0.001218,10
1,A,Scrambling,0.9,1.1,10,in order to prove disparate impact you first must establish,1.0,1.0,1.0,8273,33,5142,16998,1.8344,6e-05,9
1,A,Scrambling,0.9,1.1,10,where do characters live in this is us,1.0,1.0,1.0,9108,33,5144,17998,2.0253,0.000148,10
1,A,Scrambling,0.9,1.1,10,who makes the decisions about what to produce in a market economy,1.0,1.0,1.0,8796,34,5163,17453,1.6434,9.2e-05,9
1,A,Scrambling,0.9,1.1,10,when is the new tappan zee bridge going to be finished,1.0,1.0,1.0,8174,33,5144,22419,1.6957,0.000355,10
1,A,Scrambling,0.9,1.1,10,who recorded i can't help falling in love with you,1.0,1.0,1.0,13779,37,5239,23137,2.0253,0.000217,10
1,A,Scrambling,0.9,1.1,10,who plays the doc in back to the future,1.0,1.0,1.0,9739,35,5149,18184,2.0253,0.000551,10
1,A,Scrambling,0.9,1.1,10,when did they stop cigarette advertising on television,1.0,1.0,1.0,8483,35,5160,17453,2.0253,0.000669,10
1,A,Scrambling,0.9,1.1,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.0,9293,35,5111,17907,1.6957,0.000573,10
1,A,Scrambling,0.9,1.1,10,how many seasons of prison break are on netflix,1.0,1.0,1.0,8867,36,5226,17487,1.973,9.4e-05,10
1,A,Scrambling,0.9,1.1,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,1.0,7951,34,5227,16586,1.8867,0.00011,9
1,A,Scrambling,0.9,1.1,10,when did the us take over wake island,1.0,1.0,1.0,8535,34,5093,16270,1.973,0.000696,10
1,A,Scrambling,0.9,1.1,10,when did american two party system began to emerge,1.0,1.0,1.0,7338,35,5148,15412,1.6094,0.00019,10
1,A,Scrambling,0.9,1.1,10,where are the mitochondria located in the sperm,1.0,1.0,1.0,7682,33,5153,15384,2.164,0.00018,10
1,A,Scrambling,0.9,1.1,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.0,8794,33,5146,16903,2.164,0.000394,10
1,A,Scrambling,0.9,1.1,10,how many seasons of the oc are there,1.0,1.0,1.0,8118,35,5139,16023,1.8867,0.000938,10
1,A,Scrambling,0.9,1.1,10,latest season on keeping up with the kardashians,1.0,1.0,1.0,8117,33,5144,16985,1.3592,0.000327,10
1,A,Scrambling,0.9,1.1,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.0,7981,34,5145,16166,1.8344,0.000307,10
1,A,Scrambling,0.9,1.1,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.0,7539,32,5143,16199,1.8867,0.000119,10
1,A,Scrambling,0.9,1.1,10,what is pumped up kicks the song about,1.0,1.0,1.0,8501,35,5141,16887,1.8344,0.000141,10
1,A,Scrambling,0.9,1.1,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.0,7791,33,5145,16072,2.0253,0.000159,10
1,A,Scrambling,0.9,1.1,10,where are they building the new raiders stadium,1.0,1.0,1.0,8159,34,5140,17044,2.164,0.000102,10
1,A,Scrambling,0.9,1.1,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.0,8555,35,5137,16207,1.973,0.000125,10
1,A,Scrambling,0.9,1.1,10,does joe die in the purge election year,1.0,1.0,1.0,9019,34,5149,17830,1.8344,0.000228,10
1,A,Noise,0.9,1.1,10,what is non controlling interest on balance sheet,1.0,1.0,1.0,19718,172,12295,37595,1.5048,4.1e-05,10
1,A,Noise,0.9,1.1,10,how many episodes are in chicago fire season 4,1.0,0.9997,0.8222,15157,90,7793,27182,1.6094,7.3e-05,9
1,A,Noise,0.9,1.1,10,who sings love will keep us alive by the eagles,0.9,0.9452,1.0,10372,71,5741,18909,2.3026,2.7e-05,10
1,A,Noise,0.9,1.1,10,who is the leader of the ontario pc party,1.0,1.0,0.9556,9481,62,5210,17195,1.6094,0.000265,10
1,A,Noise,0.9,1.1,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,0.9111,8814,60,5153,16426,1.973,7.2e-05,9
1,A,Noise,0.9,1.1,10,who were the three elves who got rings,0.9,0.9412,0.8889,9258,62,5146,17956,2.164,3e-05,10
1,A,Noise,0.9,1.1,10,converting stereo signal to mono signal is called,1.0,1.0,0.9556,8274,59,5148,15652,1.6957,0.001185,9
1,A,Noise,0.9,1.1,10,in order to prove disparate impact you first must establish,1.0,1.0,0.9556,8284,60,5158,16068,1.8867,5.6e-05,10
1,A,Noise,0.9,1.1,10,where do characters live in this is us,1.0,1.0,1.0,8932,60,5155,17086,2.0253,0.000143,10
1,A,Noise,0.9,1.1,10,who makes the decisions about what to produce in a market economy,1.0,1.0,0.9556,7494,64,5165,16307,1.6957,9.2e-05,10
1,A,Noise,0.9,1.1,10,when is the new tappan zee bridge going to be finished,1.0,0.9999,0.9111,8700,61,5147,16995,1.6094,0.000346,10
1,A,Noise,0.9,1.1,10,who recorded i can't help falling in love with you,1.0,1.0,1.0,8046,60,5149,16424,1.8867,0.000215,10
1,A,Noise,0.9,1.1,10,who plays the doc in back to the future,1.0,0.9999,0.9556,8308,60,5156,16430,2.0253,0.00053,10
1,A,Noise,0.9,1.1,10,when did they stop cigarette advertising on television,1.0,1.0,0.9556,7671,60,5151,16284,2.0253,0.00066,10
1,A,Noise,0.9,1.1,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.0,9141,60,5142,18031,1.5048,0.000558,9
1,A,Noise,0.9,1.1,10,how many seasons of prison break are on netflix,1.0,0.9995,0.9111,8974,60,5572,18149,2.0253,9.3e-05,10
1,A,Noise,0.9,1.1,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,0.9999,0.9111,9632,62,5149,18243,2.0253,0.000109,10
1,A,Noise,0.9,1.1,10,when did the us take over wake island,1.0,1.0,1.0,8234,61,5156,16624,1.973,0.000687,10
1,A,Noise,0.9,1.1,10,when did american two party system began to emerge,1.0,1.0,0.9556,7501,60,5157,16071,1.7481,0.00019,10
1,A,Noise,0.9,1.1,10,where are the mitochondria located in the sperm,1.0,1.0,1.0,7728,60,5151,16320,2.0253,0.000168,10
1,A,Noise,0.9,1.1,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.0,8945,62,5140,17615,2.164,0.000395,10
1,A,Noise,0.9,1.1,10,how many seasons of the oc are there,1.0,1.0,0.9556,8818,59,5141,17431,1.8867,0.000924,10
1,A,Noise,0.9,1.1,10,latest season on keeping up with the kardashians,0.9,0.9572,1.0,8938,62,5148,17583,1.4979,0.000327,10
1,A,Noise,0.9,1.1,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,0.9556,8018,60,5160,16786,2.0253,0.000301,10
1,A,Noise,0.9,1.1,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,0.9999,0.9556,8794,62,5142,17424,1.973,0.000116,9
1,A,Noise,0.9,1.1,10,what is pumped up kicks the song about,0.9,0.9459,1.0,8027,59,5155,16109,1.8867,0.000145,10
1,A,Noise,0.9,1.1,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.0,9260,59,5148,17934,2.164,0.000151,10
1,A,Noise,0.9,1.1,10,where are they building the new raiders stadium,1.0,1.0,1.0,8628,60,5144,17350,2.164,0.0001,10
1,A,Noise,0.9,1.1,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,0.9556,8608,60,5141,17148,1.973,0.000122,10
1,A,Noise,0.9,1.1,10,does joe die in the purge election year,1.0,1.0,0.9556,7740,60,5142,16395,2.0253,0.00022,10
1,A,Combined,0.9,1.1,10,what is non controlling interest on balance sheet,0.9,0.9408,0.7778,23459,158,11831,40679,1.6957,4.1e-05,9
1,A,Combined,0.9,1.1,10,how many episodes are in chicago fire season 4,0.9,0.9424,0.9444,14611,99,7655,27535,1.8344,7.1e-05,10
1,A,Combined,0.9,1.1,10,who sings love will keep us alive by the eagles,1.0,1.0,0.9556,11444,76,6327,21524,2.0253,2.7e-05,10
1,A,Combined,0.9,1.1,10,who is the leader of the ontario pc party,1.0,1.0,0.9556,10187,62,5167,18957,1.973,0.000267,10
1,A,Combined,0.9,1.1,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,0.9111,8837,62,5157,17409,1.6957,7.6e-05,10
1,A,Combined,0.9,1.1,10,who were the three elves who got rings,0.9,0.9413,0.8889,8758,61,5166,17711,1.8867,3.1e-05,10
1,A,Combined,0.9,1.1,10,converting stereo signal to mono signal is called,1.0,1.0,1.0,9049,61,5147,17841,1.6957,0.001259,10
1,A,Combined,0.9,1.1,10,in order to prove disparate impact you first must establish,1.0,1.0,0.9111,8362,62,5150,17036,1.6957,6.3e-05,9
1,A,Combined,0.9,1.1,10,where do characters live in this is us,1.0,1.0,0.9556,9212,59,5143,17957,2.0253,0.000154,10
1,A,Combined,0.9,1.1,10,who makes the decisions about what to produce in a market economy,1.0,0.9999,0.9556,8691,61,5164,18197,1.8344,9.3e-05,10
1,A,Combined,0.9,1.1,10,when is the new tappan zee bridge going to be finished,1.0,0.9999,0.9556,8838,59,5150,18542,1.5048,0.000365,10
1,A,Combined,0.9,1.1,10,who recorded i can't help falling in love with you,1.0,1.0,1.0,8739,60,5154,17571,2.0253,0.00022,10
1,A,Combined,0.9,1.1,10,who plays the doc in back to the future,1.0,1.0,1.0,8628,59,5148,17392,2.0253,0.000525,10
1,A,Combined,0.9,1.1,10,when did they stop cigarette advertising on television,1.0,0.9996,0.9556,8565,58,5157,17395,1.8867,0.000654,10
1,A,Combined,0.9,1.1,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,0.9556,8288,58,5140,16650,1.6957,0.000547,10
1,A,Combined,0.9,1.1,10,how many seasons of prison break are on netflix,0.9,0.9442,0.8889,8152,59,5140,16381,2.164,9.2e-05,9
1,A,Combined,0.9,1.1,10,what was the name of atom bomb dropped by usa on hiroshima,0.9,0.9455,0.9444,8320,58,5154,16739,1.8867,0.00011,10
1,A,Combined,0.9,1.1,10,when did the us take over wake island,1.0,1.0,1.0,8114,61,5150,16242,1.973,0.000659,10
1,A,Combined,0.9,1.1,10,when did american two party system began to emerge,0.9,0.946,1.0,8125,59,5148,16461,1.6094,0.000181,10
1,A,Combined,0.9,1.1,10,where are the mitochondria located in the sperm,1.0,1.0,0.9556,7750,58,5142,16917,2.164,0.000168,10
1,A,Combined,0.9,1.1,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.0,7881,60,5145,17001,2.164,0.000383,10
1,A,Combined,0.9,1.1,10,how many seasons of the oc are there,1.0,1.0,0.9556,8404,59,5146,17147,1.8867,0.000917,10
1,A,Combined,0.9,1.1,10,latest season on keeping up with the kardashians,0.9,0.9571,1.0,8876,58,5148,17651,1.3592,0.000322,9
1,A,Combined,0.9,1.1,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.0,8350,58,5146,17010,2.0253,0.000314,10
1,A,Combined,0.9,1.1,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,0.9556,9436,58,5141,18129,1.8344,0.00012,9
1,A,Combined,0.9,1.1,10,what is pumped up kicks the song about,1.0,1.0,1.0,8156,58,5147,16834,1.6957,0.000143,10
1,A,Combined,0.9,1.1,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,0.9556,8973,58,5145,17696,2.0253,0.000156,9
1,A,Combined,0.9,1.1,10,where are they building the new raiders stadium,1.0,1.0,0.9556,10041,60,5150,18816,2.164,0.000103,10
1,A,Combined,0.9,1.1,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.0,8685,59,5148,17358,1.973,0.000122,10
1,A,Combined,0.9,1.1,10,does joe die in the purge election year,1.0,1.0,1.0,8169,62,5144,16830,1.8344,0.000226,10
1,A,Rome,1.0,1.0,10,what is non controlling interest on balance sheet,1.0,1.0,1.0,21380,11397,6870,43812,1.8867,4e-05,10
1,A,Rome,1.0,1.0,10,how many episodes are in chicago fire season 4,1.0,1.0,1.0,11275,5825,6756,27468,1.6957,7.6e-05,10
