trial,exp,algorithm,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,score_entropy,score_variance,enc_total_us
1,G,Combined,0%,1.0,1.0,0.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,2.0253,0.005505,22163
1,G,Combined,0%,1.0,1.0,0.0,10,How is hypertension treated?,1.0,1.0,2.164,0.008063,19995
1,G,Combined,0%,1.0,1.0,0.0,10,What causes heart failure?,1.0,1.0,2.0253,0.001569,21214
1,G,Combined,0%,1.0,1.0,0.0,10,Describe the symptoms of lupus,1.0,1.0,2.164,0.008025,18446
1,G,Combined,0%,1.0,1.0,0.0,10,What medications treat depression?,1.0,1.0,1.8344,0.005777,18414
1,G,Combined,0%,1.0,1.0,0.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007851,18661
1,G,Combined,0%,1.0,1.0,0.0,10,What are risk factors for stroke?,1.0,1.0,1.4979,0.007439,17862
1,G,Combined,0%,1.0,1.0,0.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005191,16032
1,G,Combined,0%,1.0,1.0,0.0,10,What are signs of kidney disease?,1.0,1.0,1.6957,0.004912,15898
1,G,Combined,0%,1.0,1.0,0.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.0253,0.007646,16273
1,G,Combined,0%,1.0,1.0,0.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009459,15838
1,G,Combined,0%,1.0,1.0,0.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008741,15875
1,G,Combined,0%,1.0,1.0,0.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004847,15477
1,G,Combined,0%,1.0,1.0,0.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006409,16323
1,G,Combined,0%,1.0,1.0,0.0,10,What causes chronic pain?,1.0,1.0,1.973,0.000479,17731
1,G,Combined,0%,1.0,1.0,0.0,10,Describe COPD management,1.0,1.0,2.0253,0.020794,17306
1,G,Combined,0%,1.0,1.0,0.0,10,What are signs of liver disease?,1.0,1.0,1.8867,0.000719,16624
1,G,Combined,0%,1.0,1.0,0.0,10,How is epilepsy treated?,1.0,1.0,2.0253,0.007898,15219
1,G,Combined,0%,1.0,1.0,0.0,10,What causes osteoporosis?,1.0,1.0,2.0253,0.008767,16138
1,G,Combined,0%,1.0,1.0,0.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.012617,15041
1,G,Combined,0%,1.0,1.0,0.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.164,0.006178,15978
1,G,Combined,0%,1.0,1.0,0.0,10,How is pneumonia diagnosed?,1.0,1.0,2.0253,0.008521,16599
1,G,Combined,0%,1.0,1.0,0.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.6957,0.000444,16804
1,G,Combined,0%,1.0,1.0,0.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.8867,0.00808,16756
1,G,Combined,0%,1.0,1.0,0.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011327,17240
1,G,Combined,0%,1.0,1.0,0.0,10,How is bipolar disorder managed?,1.0,1.0,2.0253,0.009573,16354
1,G,Combined,0%,1.0,1.0,0.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.014653,15976
1,G,Combined,0%,1.0,1.0,0.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012907,15220
1,G,Combined,0%,1.0,1.0,0.0,10,What are risk factors for cancer?,1.0,1.0,2.0253,0.000536,15638
1,G,Combined,0%,1.0,1.0,0.0,10,How is ALS diagnosed?,1.0,1.0,1.8867,0.010726,17329
1,G,Combined,1%,0.99,1.01,1.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.6434,0.005502,24561
1,G,Combined,1%,0.99,1.01,1.0,10,How is hypertension treated?,1.0,1.0,2.164,0.008062,17065
1,G,Combined,1%,0.99,1.01,1.0,10,What causes heart failure?,1.0,1.0,1.8867,0.001566,15769
1,G,Combined,1%,0.99,1.01,1.0,10,Describe the symptoms of lupus,1.0,1.0,1.973,0.008009,15588
1,G,Combined,1%,0.99,1.01,1.0,10,What medications treat depression?,1.0,1.0,1.8344,0.005783,16620
1,G,Combined,1%,0.99,1.01,1.0,10,How does Alzheimer's disease progress?,1.0,1.0,2.0253,0.007818,16300
1,G,Combined,1%,0.99,1.01,1.0,10,What are risk factors for stroke?,1.0,1.0,1.4979,0.007473,16039
1,G,Combined,1%,0.99,1.01,1.0,10,How is asthma managed long-term?,1.0,1.0,2.0253,0.005186,15922
1,G,Combined,1%,0.99,1.01,1.0,10,What are signs of kidney disease?,1.0,1.0,1.6957,0.004899,17099
1,G,Combined,1%,0.99,1.01,1.0,10,Describe rheumatoid arthritis treatment,1.0,1.0,2.0253,0.007651,16262
1,G,Combined,1%,0.99,1.01,1.0,10,What causes Parkinson's disease?,1.0,1.0,2.0253,0.009461,16950
1,G,Combined,1%,0.99,1.01,1.0,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.973,0.008749,16019
1,G,Combined,1%,0.99,1.01,1.0,10,What are symptoms of anemia?,1.0,1.0,2.0253,0.004849,17011
1,G,Combined,1%,0.99,1.01,1.0,10,How is hypothyroidism treated?,1.0,1.0,2.0253,0.006415,16532
1,G,Combined,1%,0.99,1.01,1.0,10,What causes chronic pain?,0.9,0.9406,1.973,0.000479,17364
1,G,Combined,1%,0.99,1.01,1.0,10,Describe COPD management,1.0,1.0,2.0253,0.020796,15878
1,G,Combined,1%,0.99,1.01,1.0,10,What are signs of liver disease?,1.0,1.0,1.8867,0.000719,16493
1,G,Combined,1%,0.99,1.01,1.0,10,How is epilepsy treated?,1.0,1.0,2.0253,0.007879,16721
1,G,Combined,1%,0.99,1.01,1.0,10,What causes osteoporosis?,1.0,1.0,2.0253,0.00876,16869
1,G,Combined,1%,0.99,1.01,1.0,10,Describe symptoms of anxiety disorder,1.0,1.0,2.0253,0.012627,15827
1,G,Combined,1%,0.99,1.01,1.0,10,What medications are used for HIV/AIDS?,1.0,1.0,2.164,0.006191,15990
1,G,Combined,1%,0.99,1.01,1.0,10,How is pneumonia diagnosed?,1.0,1.0,2.0253,0.008514,16907
1,G,Combined,1%,0.99,1.01,1.0,10,What causes inflammatory bowel disease?,1.0,1.0,1.6957,0.000443,17075
1,G,Combined,1%,0.99,1.01,1.0,10,Describe treatment for chronic kidney disease,1.0,1.0,1.8867,0.008084,17583
1,G,Combined,1%,0.99,1.01,1.0,10,What are symptoms of schizophrenia?,1.0,1.0,1.7481,0.011329,17296
1,G,Combined,1%,0.99,1.01,1.0,10,How is bipolar disorder managed?,1.0,1.0,2.0253,0.009592,15148
1,G,Combined,1%,0.99,1.01,1.0,10,What causes psoriasis?,1.0,1.0,1.8344,0.014716,15691
1,G,Combined,1%,0.99,1.01,1.0,10,Describe sepsis treatment,1.0,1.0,2.0253,0.012906,15153
1,G,Combined,1%,0.99,1.01,1.0,10,What are risk factors for cancer?,1.0,1.0,1.8867,0.000534,15634
1,G,Combined,1%,0.99,1.01,1.0,10,How is ALS diagnosed?,1.0,1.0,1.8867,0.010727,16383
1,G,Combined,5%,0.95,1.05,5.0,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.6434,0.005485,29058
1,G,Combined,5%,0.95,1.05,5.0,10,How is hypertension treated?,1.0,1.0,2.164,0.00801,17295
1,G,Combined,5%,0.95,1.05,5.0,10,What causes heart failure?,1.0,1.0,1.8867,0.001547,17604
1,G,Combined,5%,0.95,1.05,5.0,10,Describe the symptoms of lupus,1.0,1.0,1.973,0.007971,17215
1,G,Combined,5%,0.95,1.05,5.0,10,What medications treat depression?,1.0,1.0,1.973,0.005646,16680
1,G,Combined,5%,0.95,1.05,5.0,10,How does Alzheimer's disease progress?,0.9,0.954,2.0253,0.007948,17312
