trial,exp,algorithm,noise_min,noise_max,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,enc_embed_us,enc_encrypt_us,enc_search_us,enc_total_us,score_entropy,score_variance,score_distinct_count
1,A,Scrambling,0.9,1.1,10,What are the symptoms of type 2 diabetes?,1.0,1.0,1.0,17684,119,2378,28377,1.4708,0.010063,10
1,A,Scrambling,0.9,1.1,10,How is hypertension treated?,1.0,1.0,1.0,15079,110,2774,23198,2.0253,0.008239,10
1,A,Scrambling,0.9,1.1,10,What causes heart failure?,1.0,1.0,1.0,10361,78,2180,16559,2.0253,0.007888,10
1,A,Scrambling,0.9,1.1,10,Describe the symptoms of lupus,1.0,1.0,1.0,10307,53,1964,16305,1.6094,0.016206,10
1,A,Scrambling,0.9,1.1,10,What medications treat depression?,1.0,1.0,1.0,9727,55,2055,16054,2.0253,0.008015,10
1,A,Scrambling,0.9,1.1,10,How does Alzheimer's disease progress?,1.0,1.0,1.0,9571,83,1776,15331,1.6094,0.012835,10
1,A,Scrambling,0.9,1.1,10,What are risk factors for stroke?,1.0,1.0,1.0,9248,84,1717,15031,1.3592,0.007561,10
1,A,Scrambling,0.9,1.1,10,How is asthma managed long-term?,1.0,1.0,1.0,9449,84,1800,15570,1.8344,0.006175,10
1,A,Scrambling,0.9,1.1,10,What are signs of kidney disease?,1.0,1.0,1.0,9480,53,2251,16508,1.8344,0.006977,10
1,A,Scrambling,0.9,1.1,10,Describe rheumatoid arthritis treatment,1.0,1.0,1.0,8956,131,1447,14389,1.8344,0.011109,10
1,A,Scrambling,0.9,1.1,10,What causes Parkinson's disease?,1.0,1.0,1.0,8249,53,1177,13401,1.8344,0.010504,10
1,A,Scrambling,0.9,1.1,10,How is multiple sclerosis diagnosed?,1.0,1.0,1.0,9542,53,1177,14632,1.7481,0.018415,10
1,A,Scrambling,0.9,1.1,10,What are symptoms of anemia?,1.0,1.0,1.0,8594,53,2423,15230,1.6094,0.015431,10
1,A,Scrambling,0.9,1.1,10,How is hypothyroidism treated?,1.0,1.0,1.0,9820,137,2822,16750,1.8867,0.015584,10
