trial,exp,algorithm,noise_label,noise_min,noise_max,noise_range_pct,top_k,query,recall_at_k,ndcg_at_k,kendall_tau,score_entropy,score_variance,score_distinct_count,enc_total_us
1,D,Noise,1%,0.99,1.01,1.0,10,what is non controlling interest on balance sheet,1.0,1.0,1.0,1.8867,4e-05,10,37757
1,D,Noise,1%,0.99,1.01,1.0,10,how many episodes are in chicago fire season 4,1.0,1.0,1.0,1.6957,7.6e-05,10,25832
1,D,Noise,1%,0.99,1.01,1.0,10,who sings love will keep us alive by the eagles,1.0,1.0,1.0,2.164,2.7e-05,10,19624
1,D,Noise,1%,0.99,1.01,1.0,10,who is the leader of the ontario pc party,1.0,1.0,1.0,1.7481,0.000275,10,17528
1,D,Noise,1%,0.99,1.01,1.0,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0,1.7481,7.7e-05,8,17286
1,D,Noise,1%,0.99,1.01,1.0,10,who were the three elves who got rings,1.0,1.0,1.0,2.0253,2.8e-05,10,16930
1,D,Noise,1%,0.99,1.01,1.0,10,converting stereo signal to mono signal is called,1.0,1.0,1.0,1.6957,0.001215,10,17216
1,D,Noise,1%,0.99,1.01,1.0,10,in order to prove disparate impact you first must establish,1.0,1.0,1.0,1.973,6e-05,10,16817
1,D,Noise,1%,0.99,1.01,1.0,10,where do characters live in this is us,1.0,1.0,1.0,2.0253,0.000148,10,16251
1,D,Noise,1%,0.99,1.01,1.0,10,who makes the decisions about what to produce in a market economy,1.0,1.0,0.9556,1.6434,9.1e-05,9,16686
1,D,Noise,1%,0.99,1.01,1.0,10,when is the new tappan zee bridge going to be finished,1.0,1.0,1.0,1.6957,0.000355,9,16996
1,D,Noise,1%,0.99,1.01,1.0,10,who recorded i can't help falling in love with you,1.0,1.0,1.0,2.0253,0.000217,10,17074
1,D,Noise,1%,0.99,1.01,1.0,10,who plays the doc in back to the future,1.0,1.0,1.0,2.0253,0.000551,10,17453
1,D,Noise,1%,0.99,1.01,1.0,10,when did they stop cigarette advertising on television,1.0,1.0,1.0,2.0253,0.00067,10,18094
1,D,Noise,1%,0.99,1.01,1.0,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.0,1.6957,0.000573,10,17437
1,D,Noise,1%,0.99,1.01,1.0,10,how many seasons of prison break are on netflix,1.0,1.0,1.0,2.164,9.4e-05,10,16619
1,D,Noise,1%,0.99,1.01,1.0,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,0.9556,1.7481,0.00011,10,16267
1,D,Noise,1%,0.99,1.01,1.0,10,when did the us take over wake island,1.0,1.0,1.0,1.973,0.000695,10,16219
1,D,Noise,1%,0.99,1.01,1.0,10,when did american two party system began to emerge,1.0,1.0,1.0,1.6094,0.000189,9,15527
1,D,Noise,1%,0.99,1.01,1.0,10,where are the mitochondria located in the sperm,1.0,1.0,1.0,2.164,0.00018,10,17696
1,D,Noise,1%,0.99,1.01,1.0,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.0,2.164,0.000394,10,17101
1,D,Noise,1%,0.99,1.01,1.0,10,how many seasons of the oc are there,1.0,1.0,1.0,1.8867,0.000934,10,17904
1,D,Noise,1%,0.99,1.01,1.0,10,latest season on keeping up with the kardashians,1.0,1.0,1.0,1.3592,0.000326,10,16835
1,D,Noise,1%,0.99,1.01,1.0,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.0,1.8344,0.000307,10,16681
1,D,Noise,1%,0.99,1.01,1.0,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.0,1.8867,0.000119,10,17740
1,D,Noise,1%,0.99,1.01,1.0,10,what is pumped up kicks the song about,1.0,1.0,1.0,1.8344,0.000141,10,17067
1,D,Noise,1%,0.99,1.01,1.0,10,2. what are the reasons states impose protectionists policies on other countries,1.0,1.0,1.0,2.0253,0.000158,10,16349
1,D,Noise,1%,0.99,1.01,1.0,10,where are they building the new raiders stadium,1.0,1.0,1.0,2.164,0.000101,9,15917
1,D,Noise,1%,0.99,1.01,1.0,10,what event provoked congress to propose the eleventh amendment and the states to ratify it,1.0,1.0,1.0,1.973,0.000124,10,17037
1,D,Noise,1%,0.99,1.01,1.0,10,does joe die in the purge election year,1.0,1.0,1.0,1.8344,0.000227,9,16218
1,D,Noise,5%,0.95,1.05,5.0,10,what is non controlling interest on balance sheet,1.0,1.0,0.9556,1.8344,4.2e-05,10,37572
1,D,Noise,5%,0.95,1.05,5.0,10,how many episodes are in chicago fire season 4,1.0,0.9998,0.9111,1.6957,7.5e-05,9,24547
1,D,Noise,5%,0.95,1.05,5.0,10,who sings love will keep us alive by the eagles,0.9,0.9452,0.9444,2.164,2.6e-05,10,21038
1,D,Noise,5%,0.95,1.05,5.0,10,who is the leader of the ontario pc party,1.0,1.0,1.0,1.973,0.000273,10,17290
1,D,Noise,5%,0.95,1.05,5.0,10,nitty gritty dirt band fishin in the dark album,1.0,1.0,1.0,1.7481,7.5e-05,9,16654
1,D,Noise,5%,0.95,1.05,5.0,10,who were the three elves who got rings,1.0,1.0,1.0,2.0253,2.8e-05,10,17042
1,D,Noise,5%,0.95,1.05,5.0,10,converting stereo signal to mono signal is called,1.0,0.9999,0.9556,1.6957,0.00122,10,15989
1,D,Noise,5%,0.95,1.05,5.0,10,in order to prove disparate impact you first must establish,1.0,1.0,0.9556,1.973,5.9e-05,9,16414
1,D,Noise,5%,0.95,1.05,5.0,10,where do characters live in this is us,1.0,1.0,1.0,2.0253,0.000152,10,16357
1,D,Noise,5%,0.95,1.05,5.0,10,who makes the decisions about what to produce in a market economy,1.0,1.0,0.9556,1.8344,9.1e-05,9,17188
1,D,Noise,5%,0.95,1.05,5.0,10,when is the new tappan zee bridge going to be finished,1.0,1.0,1.0,1.6957,0.00035,10,17221
1,D,Noise,5%,0.95,1.05,5.0,10,who recorded i can't help falling in love with you,1.0,1.0,1.0,1.7481,0.000214,10,17995
1,D,Noise,5%,0.95,1.05,5.0,10,who plays the doc in back to the future,1.0,1.0,1.0,2.0253,0.000557,10,17000
1,D,Noise,5%,0.95,1.05,5.0,10,when did they stop cigarette advertising on television,1.0,1.0,1.0,2.0253,0.00066,10,16835
1,D,Noise,5%,0.95,1.05,5.0,10,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1.0,1.0,1.0,1.6957,0.000581,10,17913
1,D,Noise,5%,0.95,1.05,5.0,10,how many seasons of prison break are on netflix,1.0,1.0,1.0,2.164,9.6e-05,10,16891
1,D,Noise,5%,0.95,1.05,5.0,10,what was the name of atom bomb dropped by usa on hiroshima,1.0,1.0,1.0,1.8867,0.000109,9,17653
1,D,Noise,5%,0.95,1.05,5.0,10,when did the us take over wake island,1.0,1.0,0.9556,1.973,0.000693,10,17219
1,D,Noise,5%,0.95,1.05,5.0,10,when did american two party system began to emerge,1.0,1.0,0.9556,1.6094,0.000192,10,17455
1,D,Noise,5%,0.95,1.05,5.0,10,where are the mitochondria located in the sperm,1.0,1.0,1.0,2.164,0.000181,10,17459
1,D,Noise,5%,0.95,1.05,5.0,10,how many lines of symmetry are there in a equilateral triangle,1.0,1.0,1.0,2.164,0.000396,10,17652
1,D,Noise,5%,0.95,1.05,5.0,10,how many seasons of the oc are there,1.0,1.0,1.0,1.8867,0.000939,10,17208
1,D,Noise,5%,0.95,1.05,5.0,10,latest season on keeping up with the kardashians,1.0,1.0,0.9556,1.3592,0.000324,9,16837
1,D,Noise,5%,0.95,1.05,5.0,10,how dose the poet present death as a voyage in crossing the bar,1.0,1.0,1.0,1.973,0.000308,10,17618
1,D,Noise,5%,0.95,1.05,5.0,10,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1.0,1.0,1.0,1.8867,0.000119,10,17102
